nama_kemukiman,nama_kecamatan,nama_kab_kota
Kedai Bakongan,Bakongan,Aceh Selatan
Ujong Padang,Bakongan,Aceh Selatan
Asahan,Kluet Utara,Aceh Selatan
Sejahtera,Kluet Utara,Aceh Selatan
Kuala Ba\'U,Kluet Utara,Aceh Selatan
Jaya,Kluet Selatan,Aceh Selatan
Kandang,Kluet Selatan,Aceh Selatan
Utama,Kluet Selatan,Aceh Selatan
Padang Bakau,Labuhan Haji,Aceh Selatan
Pawoh Apha,Labuhan Haji,Aceh Selatan
Pisang Baru,Labuhan Haji,Aceh Selatan
Ateuh,Meukek,Aceh Selatan
Bahagia,Meukek,Aceh Selatan
Teungoh,Meukek,Aceh Selatan
Ujung,Meukek,Aceh Selatan
Panton Luas,Samadua,Aceh Selatan
Sedar,Samadua,Aceh Selatan
Suaq,Samadua,Aceh Selatan
Kasik Putih,Samadua,Aceh Selatan
Sikulat,Sawang,Aceh Selatan
Lhok Pawoh,Sawang,Aceh Selatan
Trieng Meuduro,Sawang,Aceh Selatan
Alue Paku,Sawang,Aceh Selatan
Hilir,Tapaktuan,Aceh Selatan
Hulu,Tapaktuan,Aceh Selatan
Keude Trumon,Trumon,Aceh Selatan
Kuta Tuha,Trumon,Aceh Selatan
Buloh Seuma,Trumon,Aceh Selatan
Terbangan,Pasi Raja,Aceh Selatan
Rasian,Pasi Raja,Aceh Selatan
Peulumat,Labuhan Hj. Timur,Aceh Selatan
Keumumu,Labuhan Hj. Timur,Aceh Selatan
Blang Keujeren,Labuhan Hj. Barat,Aceh Selatan
Blang Baru,Labuhan Hj. Barat,Aceh Selatan
Kuta Trieng,Labuhan Hj. Barat,Aceh Selatan
Manggamat,Kluet Tengah,Aceh Selatan
Perdamaian,Kluet Timur,Aceh Selatan
Makmur,Kluet Timur,Aceh Selatan
Seubadeh,Bakongan Timur,Aceh Selatan
Krueng Luas,Trumon Timur,Aceh Selatan
Beutong,Kota Bahagia,Aceh Selatan
Ujong Tanoh,Kota Bahagia,Aceh Selatan
Ladang Rimba,Trumon Tengah,Aceh Selatan
Ngkeran,Lawe Alas,Aceh Tenggara
Ladang Misik,Lawe Alas,Aceh Tenggara
Biak Mentelang,Lawe Alas,Aceh Tenggara
Penungkunen,Lawe Alas,Aceh Tenggara
Sepakat,Lawe Sigala-Gala,Aceh Tenggara
Lawe Tua,Lawe Sigala-Gala,Aceh Tenggara
Sukadamai,Lawe Sigala-Gala,Aceh Tenggara
Kute Tengah,Lawe Sigala-Gala,Aceh Tenggara
Sekedang,Bambel,Aceh Tenggara
Munthe,Bambel,Aceh Tenggara
Beruh,Bambel,Aceh Tenggara
Al-Whusta,Bambel,Aceh Tenggara
Jaya Sakti,Babussalam,Aceh Tenggara
Selian,Babussalam,Aceh Tenggara
Dese,Babussalam,Aceh Tenggara
Cibro,Badar,Aceh Tenggara
Anugerah Jaya,Badar,Aceh Tenggara
Kodrat Alas,Badar,Aceh Tenggara
Lawe Desky,Babul Makmur,Aceh Tenggara
Tanoh Alas,Babul Makmur,Aceh Tenggara
Ukhat Peseluk,Babul Makmur,Aceh Tenggara
Kembang Kertan,Darul Hasanah,Aceh Tenggara
Darul Makmur,Darul Hasanah,Aceh Tenggara
Seri Muda,Darul Hasanah,Aceh Tenggara
Pelis,Lawe Bulan,Aceh Tenggara
Perintis,Lawe Bulan,Aceh Tenggara
Bunga Tanjong,Lawe Bulan,Aceh Tenggara
Darul Hayat,Bukit Tusam,Aceh Tenggara
Al Huda,Bukit Tusam,Aceh Tenggara
Bekhu Dihe,Bukit Tusam,Aceh Tenggara
Semadam,Semadam,Aceh Tenggara
Salman,Semadam,Aceh Tenggara
Istiqomah,Semadam,Aceh Tenggara
Tenembak Alas,Babul Rahmah,Aceh Tenggara
Babussalam,Babul Rahmah,Aceh Tenggara
Kompas Jaya,Babul Rahmah,Aceh Tenggara
Lawe Mencirim,Ketambe,Aceh Tenggara
Tuah Negeri,Ketambe,Aceh Tenggara
Selayakh,Ketambe,Aceh Tenggara
Alas Maju,Deleng Pokhisen,Aceh Tenggara
Lawe Kisam,Deleng Pokhisen,Aceh Tenggara
Maddiri,Deleng Pokhisen,Aceh Tenggara
Raje Bambel,Lawe Sumur,Aceh Tenggara
Permata,Lawe Sumur,Aceh Tenggara
Baitul Hikmah,Lawe Sumur,Aceh Tenggara
Nurul Huda,Tanoh Alas,Aceh Tenggara
Gaye Sendah,Tanoh Alas,Aceh Tenggara
Pyung Mesikhat,Tanoh Alas,Aceh Tenggara
Darul Arafah,Leuser,Aceh Tenggara
Reformasi,Leuser,Aceh Tenggara
Gukhu Mbelin,Leuser,Aceh Tenggara
Pulo Baro,Darul Aman,Aceh Timur
Rambong,Darul Aman,Aceh Timur
